[2020-12-09 22:39:38,147] {/Users/alma/PycharmProjects/flaskProject/app/thread/entity.py:29} ERROR - jsonschema ValidationError: ['User1', 'User2', 'User3', 'User4'] is too long
[2020-12-09 22:39:38,147] {/Users/alma/PycharmProjects/flaskProject/app/thread/entity.py:29} ERROR - jsonschema ValidationError: ['User1', 'User2', 'User3', 'User4'] is too long
[2020-12-09 22:39:38,148] {/Users/alma/PycharmProjects/flaskProject/app/thread/service.py:21} ERROR - JSON WAS INVALID. Will... idk yet.
[2020-12-09 22:39:38,148] {/Users/alma/PycharmProjects/flaskProject/app/thread/service.py:21} ERROR - JSON WAS INVALID. Will... idk yet.
[2020-12-09 22:46:38,469] {/Users/alma/PycharmProjects/flaskProject/app/message/service.py:27} DEBUG - JSON IS VALID. Will save thread in DB.
[2020-12-09 22:46:39,453] {/Users/alma/PycharmProjects/flaskProject/app/message/service.py:29} DEBUG - Inserted Id: %s5fd145be99bf1d6c35935cbe
[2020-12-09 22:46:39,457] {/Users/alma/PycharmProjects/flaskProject/app/message/entity.py:24} ERROR - jsonschema ValidationError: 'message' is a required property
[2020-12-09 22:46:39,457] {/Users/alma/PycharmProjects/flaskProject/app/message/service.py:32} ERROR - JSON WAS INVALID. Will... idk yet.
[2020-12-09 22:46:39,479] {/Users/alma/PycharmProjects/flaskProject/app/thread/service.py:16} DEBUG - JSON IS VALID. Will save thread in DB.
[2020-12-09 22:46:39,479] {/Users/alma/PycharmProjects/flaskProject/app/thread/service.py:16} DEBUG - JSON IS VALID. Will save thread in DB.
[2020-12-09 22:46:39,601] {/Users/alma/PycharmProjects/flaskProject/app/thread/service.py:18} DEBUG - Inserted Id: %s5fd145bf99bf1d6c35935cbf
[2020-12-09 22:46:39,601] {/Users/alma/PycharmProjects/flaskProject/app/thread/service.py:18} DEBUG - Inserted Id: %s5fd145bf99bf1d6c35935cbf
[2020-12-09 22:46:39,605] {/Users/alma/PycharmProjects/flaskProject/app/thread/entity.py:29} ERROR - jsonschema ValidationError: 'users' is a required property
